Round 1: Acc: 0.75300	 Loss: 0.57599	 Msg_len: 20.000	 Edit_Dist: 20 
Round 2: Acc: 0.75400	 Loss: 0.55881	 Msg_len: 20.000	 Edit_Dist: 20 
Round 3: Acc: 0.75200	 Loss: 0.56097	 Msg_len: 20.000	 Edit_Dist: 20 
Round 4: Acc: 0.75400	 Loss: 0.55734	 Msg_len: 20.000	 Edit_Dist: 20 
Round 5: Acc: 0.75400	 Loss: 0.55839	 Msg_len: 20.000	 Edit_Dist: 20 
Round 6: Acc: 0.75200	 Loss: 0.56115	 Msg_len: 20.000	 Edit_Dist: 20 
Round 7: Acc: 0.75400	 Loss: 0.55932	 Msg_len: 20.000	 Edit_Dist: 20 
Round 8: Acc: 0.75600	 Loss: 0.55558	 Msg_len: 20.000	 Edit_Dist: 20 
Round 9: Acc: 0.75500	 Loss: 0.55781	 Msg_len: 20.000	 Edit_Dist: 20 
Round 10: Acc: 0.75600	 Loss: 0.55635	 Msg_len: 20.000	 Edit_Dist: 20 
Round 11: Acc: 0.75300	 Loss: 0.55971	 Msg_len: 20.000	 Edit_Dist: 20 
Round 12: Acc: 0.75700	 Loss: 0.55446	 Msg_len: 20.000	 Edit_Dist: 20 
Round 13: Acc: 0.74900	 Loss: 0.56376	 Msg_len: 20.000	 Edit_Dist: 20 
Round 14: Acc: 0.75600	 Loss: 0.55614	 Msg_len: 20.000	 Edit_Dist: 20 
Round 15: Acc: 0.75200	 Loss: 0.56118	 Msg_len: 20.000	 Edit_Dist: 20 
Round 16: Acc: 0.75100	 Loss: 0.56080	 Msg_len: 20.000	 Edit_Dist: 20 
Round 17: Acc: 0.75400	 Loss: 0.55863	 Msg_len: 20.000	 Edit_Dist: 20 
Round 18: Acc: 0.75600	 Loss: 0.55592	 Msg_len: 20.000	 Edit_Dist: 20 
Round 19: Acc: 0.75200	 Loss: 0.56093	 Msg_len: 20.000	 Edit_Dist: 20 
Round 20: Acc: 0.75500	 Loss: 0.55762	 Msg_len: 20.000	 Edit_Dist: 20 
Round 21: Acc: 0.75400	 Loss: 0.55814	 Msg_len: 20.000	 Edit_Dist: 20 
Round 22: Acc: 0.75400	 Loss: 0.55756	 Msg_len: 20.000	 Edit_Dist: 20 
Round 23: Acc: 0.75400	 Loss: 0.55827	 Msg_len: 20.000	 Edit_Dist: 20 
Round 24: Acc: 0.75400	 Loss: 0.55864	 Msg_len: 20.000	 Edit_Dist: 20 
Round 25: Acc: 0.75100	 Loss: 0.56229	 Msg_len: 20.000	 Edit_Dist: 20 
Round 26: Acc: 0.75300	 Loss: 0.55942	 Msg_len: 20.000	 Edit_Dist: 20 
Round 27: Acc: 0.75500	 Loss: 0.55701	 Msg_len: 20.000	 Edit_Dist: 20 
Round 28: Acc: 0.75100	 Loss: 0.56191	 Msg_len: 20.000	 Edit_Dist: 20 
Round 29: Acc: 0.75200	 Loss: 0.55992	 Msg_len: 20.000	 Edit_Dist: 20 
Round 30: Acc: 0.75400	 Loss: 0.55833	 Msg_len: 20.000	 Edit_Dist: 20 
Round 31: Acc: 0.75400	 Loss: 0.55859	 Msg_len: 20.000	 Edit_Dist: 20 
Round 32: Acc: 0.75300	 Loss: 0.55894	 Msg_len: 20.000	 Edit_Dist: 20 
Round 33: Acc: 0.75400	 Loss: 0.55831	 Msg_len: 20.000	 Edit_Dist: 20 
Round 34: Acc: 0.75500	 Loss: 0.55631	 Msg_len: 20.000	 Edit_Dist: 20 
Round 35: Acc: 0.75500	 Loss: 0.55737	 Msg_len: 20.000	 Edit_Dist: 20 
Round 36: Acc: 0.75500	 Loss: 0.55686	 Msg_len: 20.000	 Edit_Dist: 20 
Round 37: Acc: 0.75400	 Loss: 0.55872	 Msg_len: 20.000	 Edit_Dist: 20 
Round 38: Acc: 0.75700	 Loss: 0.55461	 Msg_len: 20.000	 Edit_Dist: 20 
