Round 1: Acc: 0.54900	 Loss: 0.68246	 Msg_len: 20.000	 Edit_Dist: 11 
Round 2: Acc: 0.64900	 Loss: 0.65356	 Msg_len: 20.000	 Edit_Dist: 18 
Round 3: Acc: 0.39300	 Loss: 0.75264	 Msg_len: 20.000	 Edit_Dist: 16 
Round 4: Acc: 0.78700	 Loss: 0.63061	 Msg_len: 20.000	 Edit_Dist: 20 
Round 5: Acc: 0.45500	 Loss: 0.74518	 Msg_len: 20.000	 Edit_Dist: 20 
Round 6: Acc: 0.76300	 Loss: 0.60963	 Msg_len: 20.000	 Edit_Dist: 20 
Round 7: Acc: 0.67300	 Loss: 0.63354	 Msg_len: 20.000	 Edit_Dist: 20 
Round 8: Acc: 0.37700	 Loss: 0.79973	 Msg_len: 20.000	 Edit_Dist: 20 
Round 9: Acc: 0.52700	 Loss: 0.69281	 Msg_len: 20.000	 Edit_Dist: 19 
Round 10: Acc: 0.61100	 Loss: 0.68121	 Msg_len: 20.000	 Edit_Dist: 20 
Round 11: Acc: 0.74900	 Loss: 0.62788	 Msg_len: 20.000	 Edit_Dist: 20 
Round 12: Acc: 0.51200	 Loss: 0.71870	 Msg_len: 20.000	 Edit_Dist: 20 
Round 13: Acc: 0.69400	 Loss: 0.63115	 Msg_len: 20.000	 Edit_Dist: 20 
Round 14: Acc: 0.53500	 Loss: 0.70508	 Msg_len: 20.000	 Edit_Dist: 20 
Round 15: Acc: 0.74900	 Loss: 0.60481	 Msg_len: 20.000	 Edit_Dist: 20 
Round 16: Acc: 0.66900	 Loss: 0.63632	 Msg_len: 20.000	 Edit_Dist: 20 
Round 17: Acc: 0.47600	 Loss: 0.75166	 Msg_len: 20.000	 Edit_Dist: 20 
Round 18: Acc: 0.66700	 Loss: 0.64683	 Msg_len: 20.000	 Edit_Dist: 20 
Round 19: Acc: 0.66500	 Loss: 0.64335	 Msg_len: 20.000	 Edit_Dist: 20 
Round 20: Acc: 0.35900	 Loss: 0.77401	 Msg_len: 20.000	 Edit_Dist: 20 
Round 21: Acc: 0.78200	 Loss: 0.63220	 Msg_len: 20.000	 Edit_Dist: 20 
Round 22: Acc: 0.70600	 Loss: 0.62578	 Msg_len: 20.000	 Edit_Dist: 20 
Round 23: Acc: 0.74600	 Loss: 0.58394	 Msg_len: 20.000	 Edit_Dist: 20 
Round 24: Acc: 0.63600	 Loss: 0.66258	 Msg_len: 20.000	 Edit_Dist: 20 
Round 25: Acc: 0.62900	 Loss: 0.66302	 Msg_len: 20.000	 Edit_Dist: 20 
Round 26: Acc: 0.69000	 Loss: 0.62197	 Msg_len: 20.000	 Edit_Dist: 20 
Round 27: Acc: 0.55400	 Loss: 0.70747	 Msg_len: 20.000	 Edit_Dist: 20 
Round 28: Acc: 0.43800	 Loss: 0.74349	 Msg_len: 20.000	 Edit_Dist: 20 
Round 29: Acc: 0.79100	 Loss: 0.61427	 Msg_len: 20.000	 Edit_Dist: 20 
Round 30: Acc: 0.65300	 Loss: 0.64802	 Msg_len: 20.000	 Edit_Dist: 20 
Round 31: Acc: 0.47500	 Loss: 0.73723	 Msg_len: 20.000	 Edit_Dist: 20 
Round 32: Acc: 0.35900	 Loss: 0.74421	 Msg_len: 20.000	 Edit_Dist: 20 
Round 33: Acc: 0.50100	 Loss: 0.69390	 Msg_len: 20.000	 Edit_Dist: 12 
Round 34: Acc: 0.68000	 Loss: 0.63171	 Msg_len: 20.000	 Edit_Dist: 0 
Round 35: Acc: 0.56400	 Loss: 0.69886	 Msg_len: 20.000	 Edit_Dist: 0 
Round 36: Acc: 0.52300	 Loss: 0.69186	 Msg_len: 20.000	 Edit_Dist: 17 
Round 37: Acc: 0.52700	 Loss: 0.69235	 Msg_len: 20.000	 Edit_Dist: 8 
Round 38: Acc: 0.57600	 Loss: 0.67393	 Msg_len: 20.000	 Edit_Dist: 19 
Round 39: Acc: 0.79300	 Loss: 0.52720	 Msg_len: 20.000	 Edit_Dist: 20 
Round 40: Acc: 0.49300	 Loss: 0.80787	 Msg_len: 20.000	 Edit_Dist: 20 
Round 41: Acc: 0.71400	 Loss: 0.64217	 Msg_len: 20.000	 Edit_Dist: 19 
Round 42: Acc: 0.33000	 Loss: 0.75184	 Msg_len: 20.000	 Edit_Dist: 19 
Round 43: Acc: 0.60000	 Loss: 0.68647	 Msg_len: 20.000	 Edit_Dist: 19 
Round 44: Acc: 0.63000	 Loss: 0.67181	 Msg_len: 20.000	 Edit_Dist: 20 
Round 45: Acc: 0.70300	 Loss: 0.63378	 Msg_len: 20.000	 Edit_Dist: 20 
Round 46: Acc: 0.70300	 Loss: 0.61702	 Msg_len: 20.000	 Edit_Dist: 20 
Round 47: Acc: 0.57100	 Loss: 0.69813	 Msg_len: 20.000	 Edit_Dist: 20 
Round 48: Acc: 0.59100	 Loss: 0.68032	 Msg_len: 20.000	 Edit_Dist: 20 
Round 49: Acc: 0.51200	 Loss: 0.70463	 Msg_len: 20.000	 Edit_Dist: 20 
Round 50: Acc: 0.72600	 Loss: 0.63061	 Msg_len: 20.000	 Edit_Dist: 20 
Round 51: Acc: 0.35700	 Loss: 0.76176	 Msg_len: 20.000	 Edit_Dist: 19 
Round 52: Acc: 0.79000	 Loss: 0.62419	 Msg_len: 20.000	 Edit_Dist: 20 
Round 53: Acc: 0.60900	 Loss: 0.67038	 Msg_len: 20.000	 Edit_Dist: 20 
Round 54: Acc: 0.55300	 Loss: 0.69598	 Msg_len: 20.000	 Edit_Dist: 20 
Round 55: Acc: 0.74900	 Loss: 0.60591	 Msg_len: 20.000	 Edit_Dist: 20 
Round 56: Acc: 0.78500	 Loss: 0.55338	 Msg_len: 20.000	 Edit_Dist: 20 
Round 57: Acc: 0.76900	 Loss: 0.54355	 Msg_len: 20.000	 Edit_Dist: 20 
Round 58: Acc: 0.74200	 Loss: 0.57235	 Msg_len: 20.000	 Edit_Dist: 20 
Round 59: Acc: 0.76500	 Loss: 0.54537	 Msg_len: 20.000	 Edit_Dist: 20 
Round 60: Acc: 0.47800	 Loss: 0.80333	 Msg_len: 20.000	 Edit_Dist: 20 
Round 61: Acc: 0.59300	 Loss: 0.67810	 Msg_len: 20.000	 Edit_Dist: 20 
Round 62: Acc: 0.49100	 Loss: 0.71114	 Msg_len: 20.000	 Edit_Dist: 20 
Round 63: Acc: 0.76900	 Loss: 0.61695	 Msg_len: 20.000	 Edit_Dist: 20 
Round 64: Acc: 0.78100	 Loss: 0.57873	 Msg_len: 20.000	 Edit_Dist: 20 
Round 65: Acc: 0.72700	 Loss: 0.58944	 Msg_len: 20.000	 Edit_Dist: 20 
Round 66: Acc: 0.59300	 Loss: 0.69718	 Msg_len: 20.000	 Edit_Dist: 20 
Round 67: Acc: 0.71100	 Loss: 0.60462	 Msg_len: 20.000	 Edit_Dist: 20 
Round 68: Acc: 0.37700	 Loss: 0.79875	 Msg_len: 20.000	 Edit_Dist: 20 
Round 69: Acc: 0.65300	 Loss: 0.65592	 Msg_len: 20.000	 Edit_Dist: 20 
Round 70: Acc: 0.45200	 Loss: 0.72223	 Msg_len: 20.000	 Edit_Dist: 20 
Round 71: Acc: 0.59000	 Loss: 0.67746	 Msg_len: 20.000	 Edit_Dist: 20 
Round 72: Acc: 0.43300	 Loss: 0.71160	 Msg_len: 20.000	 Edit_Dist: 20 
Round 73: Acc: 0.57700	 Loss: 0.68371	 Msg_len: 20.000	 Edit_Dist: 19 
Round 74: Acc: 0.48100	 Loss: 0.70247	 Msg_len: 20.000	 Edit_Dist: 20 
Round 75: Acc: 0.57400	 Loss: 0.68516	 Msg_len: 20.000	 Edit_Dist: 19 
Round 76: Acc: 0.73300	 Loss: 0.64620	 Msg_len: 20.000	 Edit_Dist: 20 
Round 77: Acc: 0.75400	 Loss: 0.60670	 Msg_len: 20.000	 Edit_Dist: 20 
Round 78: Acc: 0.45200	 Loss: 0.75032	 Msg_len: 20.000	 Edit_Dist: 20 
Round 79: Acc: 0.65300	 Loss: 0.65173	 Msg_len: 20.000	 Edit_Dist: 20 
Round 80: Acc: 0.55000	 Loss: 0.69169	 Msg_len: 20.000	 Edit_Dist: 20 
Round 81: Acc: 0.49500	 Loss: 0.70734	 Msg_len: 20.000	 Edit_Dist: 20 
Round 82: Acc: 0.53800	 Loss: 0.68829	 Msg_len: 20.000	 Edit_Dist: 20 
Round 83: Acc: 0.67000	 Loss: 0.65349	 Msg_len: 20.000	 Edit_Dist: 20 
Round 84: Acc: 0.68400	 Loss: 0.63887	 Msg_len: 20.000	 Edit_Dist: 19 
Round 85: Acc: 0.40800	 Loss: 0.74718	 Msg_len: 20.000	 Edit_Dist: 18 
Round 86: Acc: 0.70900	 Loss: 0.63704	 Msg_len: 20.000	 Edit_Dist: 20 
Round 87: Acc: 0.72700	 Loss: 0.61540	 Msg_len: 20.000	 Edit_Dist: 20 
Round 88: Acc: 0.51600	 Loss: 0.72562	 Msg_len: 20.000	 Edit_Dist: 20 
Round 89: Acc: 0.60900	 Loss: 0.66926	 Msg_len: 20.000	 Edit_Dist: 20 
Round 90: Acc: 0.43000	 Loss: 0.72037	 Msg_len: 20.000	 Edit_Dist: 16 
Round 91: Acc: 0.65900	 Loss: 0.64697	 Msg_len: 20.000	 Edit_Dist: 0 
Round 92: Acc: 0.60500	 Loss: 0.67703	 Msg_len: 20.000	 Edit_Dist: 0 
Round 93: Acc: 0.56200	 Loss: 0.68529	 Msg_len: 20.000	 Edit_Dist: 9 
Round 94: Acc: 0.49000	 Loss: 0.69537	 Msg_len: 20.000	 Edit_Dist: 15 
Round 95: Acc: 0.69200	 Loss: 0.65728	 Msg_len: 20.000	 Edit_Dist: 18 
Round 96: Acc: 0.63100	 Loss: 0.66302	 Msg_len: 20.000	 Edit_Dist: 20 
Round 97: Acc: 0.35900	 Loss: 0.75108	 Msg_len: 20.000	 Edit_Dist: 19 
Round 98: Acc: 0.78800	 Loss: 0.60852	 Msg_len: 20.000	 Edit_Dist: 20 
