('red', 'sphere'):	bedeeeaaeaeaaeaaeaea
('red', 'cylinder'):	becadddddddddddddddd
('red', 'torus'):	bdebaaaaaaaaaadadddd
('red', 'ellipsoid'):	bebbbbbebbbbbbbbbbbb
('blue', 'box'):	c
('blue', 'sphere'):	bcccccceeccccdccdcdc
('blue', 'cylinder'):	bcccdddcddddddcddddd
('blue', 'ellipsoid'):	cbaaaaaaeaaeaeaaeaea
('green', 'box'):	bedaaeaaeaaeaaeaaeaa
('green', 'sphere'):	becadddddddddddddddd
('green', 'cylinder'):	bcdddddddddddddddddd
('green', 'torus'):	beedeeeeeeeeeeeeeeed
('green', 'ellipsoid'):	bcaaaaaaeaeaeaeaaeae
('white', 'box'):	ad
('white', 'sphere'):	dddddddddddddddddddd
('white', 'torus'):	daeaaaaa
('white', 'ellipsoid'):	d
('gray', 'box'):	dbbbbbbbbbbbbbbbbbbb
('gray', 'sphere'):	bebbbbbbbbbbbbbbbbbb
('gray', 'cylinder'):	bedeeeeeeaaeaeaaeaea
('gray', 'torus'):	d
('gray', 'ellipsoid'):	bdbaaaaddddddddddddd
('yellow', 'box'):	d
('yellow', 'sphere'):	bebbbebbbbbebbbbbbbb
('yellow', 'cylinder'):	beeeeeeeeeeeedddedde
('yellow', 'torus'):	bbbbbbbbbbbbbbbbbbbb
('yellow', 'ellipsoid'):	bddddddddddddddddddd
('cyan', 'box'):	e
('cyan', 'cylinder'):	bcccccccccdcddcddcdd
('cyan', 'torus'):	c
('cyan', 'ellipsoid'):	cdaa
('magenta', 'box'):	da
('magenta', 'sphere'):	bdddddaddddddddddddd
('magenta', 'cylinder'):	beaaaaaaaaaaaaaaaaea
('magenta', 'torus'):	d
The compositionality of this language is (0.282027,0.203202)
