('red', 'box'):	dbbbd
('red', 'cylinder'):	deaccccccccccccccccc
('red', 'torus'):	dcbddddddddddddddddd
('red', 'ellipsoid'):	ddddddddddddddddddeb
('blue', 'box'):	c
('blue', 'sphere'):	cab
('blue', 'cylinder'):	de
('blue', 'torus'):	cbdddddddddddddddddd
('green', 'box'):	cdcd
('green', 'sphere'):	deec
('green', 'cylinder'):	debddddddddddddddddd
('green', 'torus'):	cbaddddddcdddddddddd
('green', 'ellipsoid'):	cabddddddddddddddddd
('white', 'box'):	ac
('white', 'sphere'):	dbeddddddddcdddcdddd
('white', 'cylinder'):	dddddebddddddddddddd
('white', 'torus'):	bd
('white', 'ellipsoid'):	beeeddddddddddccdcdc
('gray', 'box'):	bd
('gray', 'sphere'):	dddddddddddddddddddd
('gray', 'cylinder'):	ddedddddddddddddddec
('gray', 'ellipsoid'):	dbeddddcdddddcdddddd
('yellow', 'box'):	beddeddddddddcdcdcdc
('yellow', 'sphere'):	dddecddddddddddddddd
('yellow', 'torus'):	dbccccccdcdddddddddd
('yellow', 'ellipsoid'):	dcbddddddddddddddddd
('cyan', 'box'):	e
('cyan', 'sphere'):	cbbbbbdbdddddddddddd
('cyan', 'cylinder'):	deeececceccccecccccc
('cyan', 'torus'):	cdccccdccdcccdccdccd
('cyan', 'ellipsoid'):	cbcdddddddcddddddddd
('magenta', 'sphere'):	dcdddddddddddddddddd
('magenta', 'cylinder'):	ddeccccedccccccccccc
('magenta', 'torus'):	beeddddddddddddddddd
('magenta', 'ellipsoid'):	dbddbddddbcddddcdddd
The compositionality of this language is (0.260133,0.219532)
