Round 1: Acc: 0.51600	 Loss: 0.69655	 Msg_len: 20.000	 Edit_Dist: 13 
Round 2: Acc: 0.55000	 Loss: 0.68734	 Msg_len: 20.000	 Edit_Dist: 19 
Round 3: Acc: 0.61800	 Loss: 0.66727	 Msg_len: 20.000	 Edit_Dist: 8 
Round 4: Acc: 0.56400	 Loss: 0.68542	 Msg_len: 20.000	 Edit_Dist: 10 
Round 5: Acc: 0.65300	 Loss: 0.63364	 Msg_len: 20.000	 Edit_Dist: 16 
Round 6: Acc: 0.73300	 Loss: 0.51651	 Msg_len: 20.000	 Edit_Dist: 12 
Round 7: Acc: 0.77500	 Loss: 0.42038	 Msg_len: 20.000	 Edit_Dist: 8 
Round 8: Acc: 0.68300	 Loss: 0.57049	 Msg_len: 20.000	 Edit_Dist: 3 
Round 9: Acc: 0.76800	 Loss: 0.49810	 Msg_len: 20.000	 Edit_Dist: 7 
Round 10: Acc: 0.80600	 Loss: 0.47273	 Msg_len: 20.000	 Edit_Dist: 7 
Round 11: Acc: 0.80100	 Loss: 0.46600	 Msg_len: 20.000	 Edit_Dist: 10 
Round 12: Acc: 0.82500	 Loss: 0.43249	 Msg_len: 20.000	 Edit_Dist: 6 
Round 13: Acc: 0.74300	 Loss: 0.46370	 Msg_len: 20.000	 Edit_Dist: 4 
Round 14: Acc: 0.79000	 Loss: 0.37414	 Msg_len: 20.000	 Edit_Dist: 4 
Round 15: Acc: 0.74800	 Loss: 0.46804	 Msg_len: 20.000	 Edit_Dist: 4 
Round 16: Acc: 0.76400	 Loss: 0.39027	 Msg_len: 20.000	 Edit_Dist: 4 
Round 17: Acc: 0.83000	 Loss: 0.38827	 Msg_len: 20.000	 Edit_Dist: 3 
Round 18: Acc: 0.79900	 Loss: 0.40178	 Msg_len: 20.000	 Edit_Dist: 2 
Round 19: Acc: 0.80900	 Loss: 0.38405	 Msg_len: 20.000	 Edit_Dist: 2 
Round 20: Acc: 0.81200	 Loss: 0.40280	 Msg_len: 20.000	 Edit_Dist: 3 
Round 21: Acc: 0.77000	 Loss: 0.41743	 Msg_len: 20.000	 Edit_Dist: 3 
Round 22: Acc: 0.82800	 Loss: 0.40286	 Msg_len: 20.000	 Edit_Dist: 2 
Round 23: Acc: 0.77400	 Loss: 0.41375	 Msg_len: 20.000	 Edit_Dist: 5 
Round 24: Acc: 0.82900	 Loss: 0.40393	 Msg_len: 20.000	 Edit_Dist: 2 
Round 25: Acc: 0.78600	 Loss: 0.39355	 Msg_len: 20.000	 Edit_Dist: 4 
Round 26: Acc: 0.80600	 Loss: 0.33833	 Msg_len: 20.000	 Edit_Dist: 4 
Round 27: Acc: 0.81100	 Loss: 0.35798	 Msg_len: 20.000	 Edit_Dist: 3 
Round 28: Acc: 0.82400	 Loss: 0.38078	 Msg_len: 20.000	 Edit_Dist: 3 
Round 29: Acc: 0.82800	 Loss: 0.37682	 Msg_len: 20.000	 Edit_Dist: 4 
